run,counterfactual,conditional_gated_fraction,conditional_weight
gsm8k_ppo_s42,ppo,0.010767124339812048,0.9876915680037605
gsm8k_ppo_s42,dapo,0.008175031100310863,0.9909014279643694
gsm8k_ppo_s42,cispo,0.0,0.9999360889196396
gsm8k_ppo_s42,glm5,0.0019980362414773684,0.9987933180398412
gsm8k_ppo_s42,dppo,0.0025456904511682093,0.997122172680166
gsm8k_ppo_s42,sapo,2.0424837000771528e-05,0.9976475760340691
gsm8k_ppo_s42,gspo,0.4583333333333333,0.5393792761282789
dapo_ppo_s42,ppo,0.0031756307401347617,0.9967221574437234
dapo_ppo_s42,dapo,0.002166299817471681,0.9979687518970941
dapo_ppo_s42,cispo,0.0,1.0000094628782683
dapo_ppo_s42,glm5,0.00011722775785548497,0.9999453676964647
dapo_ppo_s42,dppo,0.0002242350488931181,0.9997551804909142
dapo_ppo_s42,sapo,2.689247721523267e-07,0.9996455441559514
dapo_ppo_s42,gspo,0.34946236559139787,0.6501610037540236
gsm8k_cispo_s42,ppo,0.01656371088525206,0.9814939722418785
gsm8k_cispo_s42,dapo,0.013267727884919044,0.9855600283904509
gsm8k_cispo_s42,cispo,0.0,0.9998985603451729
gsm8k_cispo_s42,glm5,0.004354500743747022,0.9973240149292079
gsm8k_cispo_s42,dppo,0.0060784384202799465,0.9932958300818097
gsm8k_cispo_s42,sapo,4.3680645334957674e-05,0.9957875406200235
gsm8k_cispo_s42,gspo,0.39204545454545453,0.6028989021751013
dapo_cispo_s42,ppo,0.006895734109749292,0.9925189665583677
dapo_cispo_s42,dapo,0.004934909584834566,0.9949434499407923
dapo_cispo_s42,cispo,0.0,0.9996817938117094
dapo_cispo_s42,glm5,0.0011300585975499585,0.9990998582784519
dapo_cispo_s42,dppo,0.0010410821998659738,0.9987540730210238
dapo_cispo_s42,sapo,4.780088919539785e-07,0.9985455087451047
dapo_cispo_s42,gspo,0.3680232558139535,0.6311909846095152
gsm8k_glm5_s42,ppo,0.027875817273422983,0.9644204284367937
gsm8k_glm5_s42,dapo,0.023913288983422216,0.9693157224172957
gsm8k_glm5_s42,cispo,0.0,0.9992156698462669
gsm8k_glm5_s42,glm5,0.017531466200585436,0.988094620490342
gsm8k_glm5_s42,dppo,0.016445464197888948,0.9776899446262403
gsm8k_glm5_s42,sapo,0.0,0.9844929696468825
gsm8k_glm5_s42,gspo,0.4241573033707865,0.5538962721154931
dapo_glm5_s42,ppo,0.007884784365467454,0.9914958269134854
dapo_glm5_s42,dapo,0.0059814203857432805,0.9938501403831981
dapo_glm5_s42,cispo,0.0,0.9997756422702883
dapo_glm5_s42,glm5,0.0013794941082890197,0.9990038823041993
dapo_glm5_s42,dppo,0.0016411158959403487,0.9982986518407713
dapo_glm5_s42,sapo,4.989249829700272e-07,0.9980125971321189
dapo_glm5_s42,gspo,0.3630790190735695,0.6360968011520214
gsm8k_dppo_s42,ppo,0.011518334421694656,0.9866443962990483
gsm8k_dppo_s42,dapo,0.009007985118439104,0.9897563019885293
gsm8k_dppo_s42,cispo,0.0,1.000184005574335
gsm8k_dppo_s42,glm5,0.002815883760112102,0.9986412932601156
gsm8k_dppo_s42,dppo,0.003686805524092604,0.9953252559975733
gsm8k_dppo_s42,sapo,0.0,0.9972699978683568
gsm8k_dppo_s42,gspo,0.3670886075949367,0.62995449840268
dapo_dppo_s42,ppo,0.006439475722073622,0.9932022624545627
dapo_dppo_s42,dapo,0.004626129685170276,0.9954436532369964
dapo_dppo_s42,cispo,0.0,1.0000297901508686
dapo_dppo_s42,glm5,0.00043452728959482147,0.9997903403935132
dapo_dppo_s42,dppo,0.0006665558584035142,0.9992511259900915
dapo_dppo_s42,sapo,0.0,0.9992168146568734
dapo_dppo_s42,gspo,0.38513513513513514,0.6141184563482845
gsm8k_sapo_s42,ppo,0.018455549985165565,0.9781900625867942
gsm8k_sapo_s42,dapo,0.015864118175927942,0.9813965386951092
gsm8k_sapo_s42,cispo,0.0,1.0000160963264937
gsm8k_sapo_s42,glm5,0.007419954602379764,0.9960967253163918
gsm8k_sapo_s42,dppo,0.008065615599877778,0.9890942721022773
gsm8k_sapo_s42,sapo,0.0,0.9936233543858086
gsm8k_sapo_s42,gspo,0.4484536082474227,0.54147256250234
dapo_sapo_s42,ppo,0.00597293525699969,0.9935993440752107
dapo_sapo_s42,dapo,0.004428935813468939,0.9955079873725974
dapo_sapo_s42,cispo,0.0,1.0000444353434452
dapo_sapo_s42,glm5,0.0005734936099114252,0.9997139043278165
dapo_sapo_s42,dppo,0.0009408703930489845,0.9989810621512292
dapo_sapo_s42,sapo,1.7111013462984061e-06,0.9991288451644463
dapo_sapo_s42,gspo,0.3543360433604336,0.644828912567317
gsm8k_gspo_s42,ppo,0.008502652854386202,0.9900411614712249
gsm8k_gspo_s42,dapo,0.006021951245976255,0.9931058725144001
gsm8k_gspo_s42,cispo,0.0,1.000043085280885
gsm8k_gspo_s42,glm5,0.001120023204767928,0.9993839263916016
gsm8k_gspo_s42,dppo,0.0016621012871334468,0.9976568887842462
gsm8k_gspo_s42,sapo,0.0,0.9985727800967845
gsm8k_gspo_s42,gspo,0.39095744680851063,0.6072285772955164
dapo_gspo_s42,ppo,0.0025554474703958184,0.9971891923617291
dapo_gspo_s42,dapo,0.0015404941736129351,0.9984441404381106
